OID_,agency,agency_des,comments,municipali,sdelength_,st_area_sh,Shape_Length,Shape_Area,PercentBlack,OBJECTID,agency_des_1,ZONE_CODE,COUNT,AREA,MEAN
230,1,ORLAND TWP, , ,816.0881093,42972.41962,816.0883931,42972.39934,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
231,1,BLOOM TWP, , ,6306.74695,1363359.645,6307.31873,1354324.643,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
232,1,ORLAND TWP, , ,1718.997455,138843.9493,1718.997718,138843.9879,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
233,1,WORTH TWP, , ,808.128957,40813.35577,808.128818,40813.32483,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
234,1,BLOOM TWP, , ,13604.97218,7599076.945,13604.97184,7599076.832,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
235,1,HANOVER TWP, , ,2294.854474,106798.3702,2294.854893,106798.4325,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
236,1,HANOVER TWP, , ,1833.799226,190100.9212,1833.798809,190100.8778,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
237,1,PALATINE TWP, , ,2997.229113,244736.6614,2997.228785,244736.753,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
238,1,PALATINE TWP, , ,2181.093517,183017.4148,1453.088138,128174.6106,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
239,1,PALATINE TWP, , ,962.1953126,30741.41498,962.1954847,30741.4107,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
240,1,SCHAUMBURG TWP, , ,1756.940989,85058.7453,1756.940582,85058.72226,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
241,1,NORTHFIELD TWP, , ,908.2439287,47764.24318,908.2441508,47764.22508,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
242,1,BREMEN TWP, , ,880.602833,43425.0912,880.6024897,43425.09447,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
243,1,HANOVER TWP, , ,8412.847263,453420.0915,8412.847463,453420.283,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
244,1,BREMEN TWP, , ,3165.752618,178386.5467,3165.75271,178386.6957,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
245,1,RICH TWP, , ,4325.304514,1109971.91,4325.304671,1109971.827,,14,RICH TWP,14,2302273,57554871.91,5.041950281
246,1,NORTHFIELD TWP, , ,1058.982206,68668.57485,1058.98212,68668.6004,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
247,1,THORNTON TWP, , ,26873.23899,17296562.53,25673.64668,17222541.69,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
248,1,BREMEN TWP, , ,1386.611723,119124.5176,1386.611673,119124.5334,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
249,1,BLOOM TWP, , ,9532.053469,3862527.496,9532.05345,3862527.606,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
250,1,HANOVER TWP, , ,11320.26838,7475240.477,12406.29212,7173448.207,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
251,1,ELK GROVE TWP, , ,6419.0126,1654760.207,6419.012966,1654760.261,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
252,1,ELK GROVE TWP, , ,749.4290252,23612.93597,749.4290876,23612.96229,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
253,1,THORNTON TWP, , ,488.4707617,14905.94922,488.4712435,14905.96594,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
254,1,THORNTON TWP, , ,2961.091071,196144.496,166.8089939,1458.877038,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
255,1,PALATINE TWP, , ,13587.63556,3973560.528,12928.30815,3941540.944,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
256,1,PALOS TWP, , ,2634.693178,433949.5489,2634.692839,433949.4288,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
257,1,BLOOM TWP, , ,26607.02422,14256834.13,10779.79734,5211332.295,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
258,1,HANOVER TWP, , ,6083.741872,1419932.574,6083.741364,1419932.651,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
259,1,NORTHFIELD TWP, , ,3408.152974,26114.75871,3408.152997,26114.7765,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
260,1,BREMEN TWP, , ,732.7407127,18456.17386,732.740414,18456.13315,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
261,1,BREMEN TWP, , ,32746.59554,34020611.09,32746.59618,34020610.83,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
262,1,LEMONT TWP, , ,230434.3343,324294403.6,3560.264078,660748.0373,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
263,1,ORLAND TWP, , ,2450.198525,375331.8233,2450.198336,375331.8552,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
264,1,LEMONT TWP, , ,64723.28933,35180765.34,1386.352298,119509.4215,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
265,1,RICH TWP, , ,653.0852482,23824.02059,653.0852083,23824.00441,,14,RICH TWP,14,2302273,57554871.91,5.041950281
266,1,WORTH TWP, , ,7619.047646,3198209.825,7619.048215,3198210.036,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
267,1,PALATINE TWP, , ,3950.03415,874851.239,3950.034371,874851.2758,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
269,1,BLOOM TWP, , ,816.8005232,40428.36324,816.8003818,40428.3597,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
270,1,BLOOM TWP, , ,1812.393295,127380.9285,1812.393021,127380.9062,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
271,1,LEMONT TWP, , ,12516.8729,2344151.798,12516.87254,2344151.366,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
272,1,ELK GROVE TWP, , ,2806.672283,434104.6838,2806.671787,434104.4708,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
273,1,ORLAND TWP, , ,1878.30855,200208.4764,1878.308664,200208.5438,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
274,1,HANOVER TWP, , ,6102.813141,955782.3513,6102.8126,955782.3294,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
275,1,LEYDEN TWP, , ,494.6403309,6669.460955,494.6406883,6669.540598,,59,LEYDEN TWP,59,2006044,50149398.21,7.608333117
276,1,ORLAND TWP, , ,1312.463499,71607.26391,1312.464192,71607.29927,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
277,1,BREMEN TWP, , ,58828.91903,99919833.24,58828.9189,99919832.98,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
279,1,MAINE TWP, , ,1501.855164,55170.09129,1501.85512,55170.06962,,23,MAINE TWP,23,2767779,69192127.01,7.063656094
280,1,PROVISO TWP, , ,29152.38436,27884385.71,29152.38456,27884385.65,,33,PROVISO TWP,33,1724786,43118186.81,5.933969779
281,1,ORLAND TWP, , ,2994.382659,378309.248,2994.382877,378309.2329,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
282,1,BREMEN TWP, , ,1007.324751,40361.73885,1007.324229,40361.72021,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
283,1,BREMEN TWP, , ,877.5964201,34044.56625,877.5963542,34044.57013,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
285,1,BREMEN TWP, , ,822.6401244,36154.49625,822.6398884,36154.47987,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
287,1,HANOVER TWP, , ,2052.285413,242411.7692,2052.284889,242411.7331,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
288,1,HANOVER TWP, , ,156.8748883,1537.21489,156.8748047,1537.213439,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
289,1,HANOVER TWP, , ,844.6226866,33438.8789,844.623032,33438.91677,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
290,1,LYONS TWP, , ,1380.219709,97280.76459,1380.219622,97280.75444,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
291,1,BARRINGTON TWP, , ,15464.31019,6807926.717,15464.31203,6807926.814,,8,BARRINGTON TWP,8,643037,16075379.49,3.114811434
292,1,PALATINE TWP, , ,372.4103289,5521.882465,372.4104338,5521.894524,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
293,1,SCHAUMBURG TWP, , ,3546.457146,169821.0083,3546.456809,169821.0778,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
294,1,NORTHFIELD TWP, , ,1125.813352,78786.4669,1125.813221,78786.37851,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
295,1,NORTHFIELD TWP, , ,10090.46271,1809453.238,10090.46182,1809453.306,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
296,1,ORLAND TWP, , ,1015.085984,56242.26645,1015.086739,56242.30195,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
297,1,PALATINE TWP, , ,719.5470114,32266.56182,719.5470049,32266.5728,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
298,1,LYONS TWP, , ,12309.73458,7391407.546,12309.73491,7391407.423,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
299,1,BARRINGTON TWP, , ,17162.2641,11147881.37,17162.26371,11147881.96,,8,BARRINGTON TWP,8,643037,16075379.49,3.114811434
300,1,ORLAND TWP, , ,49021.25489,42326338.43,48972.22382,42322615.66,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
301,1,WORTH TWP, , ,10202.64581,6627381.468,10337.79989,6829726.017,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
302,1,LYONS TWP, , ,10606.79679,6974182.886,10606.79669,6974182.268,,10,LYONS TWP,10,1724469,43110262.08,5.526359129
303,1,RICH TWP, , ,5595.690858,574652.6688,2056.469438,187323.1415,,14,RICH TWP,14,2302273,57554871.91,5.041950281
304,1,WORTH TWP, , ,3779.800209,322169.0076,3779.799245,322168.9313,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
305,1,WORTH TWP, , ,36807.56453,13423074.31,35899.21737,11329559.77,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
306,1,BREMEN TWP, , ,6029.322863,1123105.911,6029.323227,1123106.035,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
307,1,ORLAND TWP, , ,2900.202365,351742.9468,2900.202211,351742.7467,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
308,1,PALOS TWP, , ,10427.89217,6787634.343,10427.89215,6787633.811,,35,PALOS TWP,35,2983360,74581469.13,4.343107436
309,1,NEW TRIER TWP, , ,6496.897349,1849655.935,6496.897059,1849656.128,,5,NEW TRIER TWP,5,177930,4448099.057,4.041398303
310,1,NORWOOD PARK TWP, , ,10595.70176,6809717.035,10595.70223,6809717.267,,57,NORWOOD PARK TWP,57,484281,12106614.17,8.355832667
311,1,RICH TWP, , ,5595.690858,574652.6688,535.4584922,17660.32747,,14,RICH TWP,14,2302273,57554871.91,5.041950281
312,1,BLOOM TWP, , ,31678.03631,41897359.92,31678.0356,41897359.65,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
313,1,THORNTON TWP, , ,2934.781205,183033.5332,2934.781337,183033.4766,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
314,1,NORTHFIELD TWP, , ,593.0740269,19559.08953,593.0737848,19559.07558,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
315,1,PROVISO TWP, , ,40118.53595,19923279.64,40118.53622,19923279.24,,33,PROVISO TWP,33,1724786,43118186.81,5.933969779
316,1,NORTHFIELD TWP, , ,112824.8247,80938491.03,20921.96236,4539744.123,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
317,1,SCHAUMBURG TWP, , ,19863.86167,13148274.08,19863.8613,13148274.13,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
318,1,ORLAND TWP, , ,17830.32522,2936762.929,10310.86049,1887029.084,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
319,1,THORNTON TWP, , ,2830.825098,467933.2658,2830.825159,467933.1749,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
320,1,ORLAND TWP, , ,314.5161687,3339.14416,314.5164374,3339.140756,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
321,1,LEMONT TWP, , ,773.7886913,37150.44791,773.7887514,37150.45533,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
322,1,HANOVER TWP, , ,2099.525696,269676.6462,2099.525729,269676.6563,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
323,1,HANOVER TWP, , ,990.3585708,58525.25708,990.3590043,58525.25645,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
324,1,RICH TWP, , ,1011.449968,40955.44795,1011.44994,40955.40634,,14,RICH TWP,14,2302273,57554871.91,5.041950281
325,1,WORTH TWP, , ,3594.264283,650716.1565,3594.264647,650716.3211,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
326,1,NORTHFIELD TWP, , ,1804.993875,131517.2943,1804.9875,131510.8922,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
327,1,BREMEN TWP, , ,1867.590893,194706.9712,1867.591179,194706.9977,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
328,1,BREMEN TWP, , ,402.1277408,9570.717248,402.1275183,9570.702116,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
329,1,RICH TWP, , ,903.5991262,50365.36803,903.5989313,50365.37821,,14,RICH TWP,14,2302273,57554871.91,5.041950281
330,1,BLOOM TWP, , ,490.6229633,14605.50258,490.6227707,14605.49297,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
331,1,BLOOM TWP, , ,750.3280159,31590.14529,750.3283058,31590.15159,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
332,1,BLOOM TWP, , ,438.8335181,11470.24205,438.8338617,11470.27017,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
334,1,BLOOM TWP, , ,372.2043657,7699.624297,372.2044491,7699.628004,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
335,1,BARRINGTON TWP, , ,1905.440589,217623.5212,1905.440466,217623.5023,,8,BARRINGTON TWP,8,643037,16075379.49,3.114811434
336,1,RICH TWP, , ,1767.818332,163479.6794,1767.818302,163479.6178,,14,RICH TWP,14,2302273,57554871.91,5.041950281
339,1,LEMONT TWP, , ,64723.28933,35180765.34,1088.029286,64449.06212,,40,LEMONT TWP,40,6636870,165916119.8,2.945720648
